age,age_diff,height,height_diff,reach,reach_diff,stance,stance_diff,weight,weight_diff,won,won_diff,lost,lost_diff,drawn,drawn_diff,kos,kos_diff,result,decision,judge1,judge1_diff,judge2,judge2_diff,judge3,judge3_diff
24.0,1.0,183.0,3.0,187.0,7.0,orthodox,orthodox,157.0,2.0,20,8,0,-2,0,-1,16,6.0,win,UD,100.0,10.0,100.0,10.0,100.0,10.0
24.0,-13.0,183.0,9.0,187.0,7.0,orthodox,orthodox,154.0,0.0,19,-3,0,-2,0,0,15,6.0,win,KO,,,,,,
23.0,-12.0,183.0,10.0,187.0,10.0,orthodox,orthodox,158.0,0.0,17,-5,0,-12,0,-1,13,-1.0,win,RTD,,,,,,
19.0,-2.0,183.0,0.0,187.0,-9.0,orthodox,orthodox,150.0,0.0,5,2,0,-5,0,-1,2,-1.0,win,UD,40.0,7.0,40.0,7.0,40.0,7.0
28.0,-5.0,168.0,-2.0,173.0,-5.0,orthodox,orthodox,138.0,-1.0,34,10,0,-2,0,0,28,14.0,win,TKO,38.0,2.0,38.0,2.0,38.0,2.0
22.0,-4.0,168.0,0.0,173.0,10.0,orthodox,orthodox,126.0,0.0,20,-2,0,-6,0,-5,17,3.0,win,TKO,,,,,,
20.0,-12.0,168.0,0.0,173.0,-10.0,orthodox,orthodox,127.0,0.0,14,-20,0,-6,0,0,12,-11.0,win,UD,77.0,3.0,76.0,1.0,76.0,1.0
20.0,-8.0,168.0,3.0,173.0,5.0,orthodox,orthodox,130.0,0.0,10,5,0,-3,0,-1,8,8.0,win,TKO,,,,,,
18.0,-5.0,168.0,-2.0,173.0,-2.0,orthodox,orthodox,127.0,1.0,3,-1,0,-9,0,-6,2,1.0,win,KO,,,,,,
26.0,-1.0,178.0,3.0,183.0,5.0,southpaw,southpaw,130.0,0.0,17,1,0,-1,0,-3,15,9.0,win,UD,99.0,9.0,99.0,9.0,98.0,7.0
26.0,-4.0,178.0,8.0,183.0,8.0,southpaw,southpaw,130.0,0.0,16,-10,0,-3,0,0,14,-4.0,win,TKO,,,,,,
25.0,3.0,178.0,5.0,183.0,5.0,southpaw,southpaw,131.0,2.0,14,-4,0,-5,0,0,12,3.0,win,TKO,10.0,2.0,10.0,2.0,10.0,2.0
24.0,-3.0,178.0,5.0,183.0,0.0,southpaw,southpaw,130.0,1.0,8,1,0,-1,0,-2,6,1.0,win,TKO,,,,,,
28.0,1.0,173.0,5.0,175.0,6.0,orthodox,orthodox,137.0,5.0,36,10,3,-8,0,0,23,7.0,win,KO,,,,,,
